838|1|American Graffiti|110|6.9
25757|2|Comic Book: The Movie|106|6
12|7|Finding Nemo|100|7.6
10681|7|WALL·E|98|7.8
49529|7|John Carter|132|6.1
376549|21905|The Strange House|87|5.5
24631|68338|"Maria, ihm schmeckt's nicht!"|92|5.5
274415|68338|The Pasta Detectives|95|6.2
25623|132305|House|88|7.1
129689|132305|"I Are You, You Am Me"|113|5
178736|132305|Chizuko's Younger Sister|155|0
